age,income,loan_amount,loan_term,credit_score,employment_length,home_ownership,purpose,dti_ratio,has_cosigner,previous_defaults,approval
56,92313.14868644434,233211.61620841696,60,672.6047778609714,0.2557762159360216,0,4,0.5412284385092557,0,0,0
69,51780.33557772746,166315.62097985315,180,757.3743960521231,11.538523058851709,1,0,0.16736190511516635,0,0,1
46,92970.51352483423,240449.24030783397,360,736.5370054434002,5.959345329948803,0,0,0.473235555823015,0,0,1
32,24622.682633767537,303389.7284720459,120,768.9993722730729,14.117798589094004,0,3,0.7133699606942443,1,0,1
60,36791.79125332503,493065.82822447637,360,850.0,1.4417772898043248,1,2,0.42396027582624163,1,0,1
25,28030.991778524345,469193.456862521,180,652.8514167219561,5.935928573759481,1,1,1.7579071881732249,1,0,1
38,83174.84795268124,431765.7143550953,360,811.3892584528026,8.289551391816072,0,2,0.3983428354933852,0,0,1
56,98703.180597798,445119.61517390487,120,839.3601929294391,6.055030396029963,0,0,0.12491864014733392,1,0,1
36,53761.97871429251,236585.34572956126,60,829.3900793537247,1.1807241536076942,2,3,0.002841693299477796,0,1,0
40,32498.50041844256,330434.9419528451,180,524.006918959283,1.611985761468182,0,2,1.7964549752226984,0,0,0
28,59052.114789628075,448058.027853426,180,850.0,4.182113448645774,1,2,0.43831065897578925,0,0,1
28,42590.82257463912,199510.62867071977,360,636.3601018944529,2.9597319470790904,1,4,0.5598710297675867,0,1,0
41,34292.45049407332,481072.42678100703,240,515.9327696183549,6.6423388562196966,0,2,0.08803322975106348,0,0,0
70,75909.38305959351,210814.1007242456,240,850.0,2.3795185343453835,1,1,0.7069509196106636,0,0,1
53,35221.27013311842,302535.91936964175,120,751.3404368173956,9.812045826834154,1,4,0.23949340056022936,0,0,1
57,20001.35273352529,356353.3330698241,60,755.4704932504027,2.8274686905050084,1,0,1.006299072104859,0,0,1
41,23367.9305195193,475543.0464725895,60,666.7927644088014,0.20432498094694537,1,0,1.081235399858924,0,1,0
20,20000.0,126085.05565587169,360,718.2097912496978,0.0875829982612884,2,0,2.4303172463402007,0,0,0
39,71200.72939100928,374334.8342281279,360,686.0683479153561,5.202791349541107,1,4,0.30291821604802494,0,1,0
70,66521.72112192781,262803.71514132066,240,637.5797189170407,3.8886597202334334,0,2,0.4793585013039825,0,0,0
19,64238.88978404657,137935.78460721733,60,702.2990847400728,3.912566384336726,0,1,0.40044104536941716,0,0,0
41,90346.91556830356,389420.3856992133,60,711.3138207297799,7.803453413275622,0,0,0.20709817916953813,0,0,1
61,137912.01650905586,278350.02868605405,60,567.8365991403289,2.3557833458219646,2,0,0.41169860706669376,0,0,0
47,39553.65677325412,332182.04122158955,120,705.5632125486113,26.959841972015578,2,0,1.2088037504011815,0,0,0
55,79581.28523422003,164836.028946061,120,521.247512813278,14.550535173286645,0,4,0.13145273499540736,0,1,0
19,20000.0,243230.60615466448,360,850.0,0.0652325194165662,1,2,1.6641190046625696,1,0,1
38,157172.125159284,310590.3542390932,240,689.7418639759122,11.304470254565476,0,4,0.3040845003305358,0,0,1
50,25049.725121201853,205430.85306357278,180,592.8504614668218,5.705767087299202,2,1,1.3887337361749617,0,0,0
29,36422.5445135504,103194.40722461215,240,751.3218200689608,3.4866830882064996,0,2,0.8134181154953005,0,0,1
39,39403.2405902314,481012.0436960755,120,625.3300613858007,4.370318313796984,1,1,0.10972609819975562,1,0,0
61,20570.43854982287,258176.4323210956,120,697.0742663857295,9.221289445258904,0,3,0.3093760638586279,0,0,0
42,61255.13148140894,368290.58329241176,360,745.5501151091854,15.083491878571584,0,4,0.24021452172552696,0,0,1
66,69545.23671070593,208468.36081024876,180,598.330921679738,4.1086953885752635,0,4,0.4429318660576029,0,0,0
44,52439.23922882453,180790.22319272958,60,850.0,1.000135579172268,1,2,1.1296464621773392,0,1,0
59,20370.165982716393,206546.32774122688,180,850.0,5.104840513285499,1,0,2.3630623120818433,0,0,1
45,239994.27896548595,207552.33867389665,180,647.4546673761522,0.3964010709994003,0,2,0.027513405970846203,0,1,0
